City	State	2015 Est Population	2010 Census	2014 Land Area
New Haven	Connecticut	130,322	129,779	18.7 sq mi
Roseville	California	130,269	118,788	36.2 sq mi
Gainesville	Florida	130,128	124,354	61.3 sq mi
Visalia	California	130,104	124,442	36.2 sq mi
Coral Springs	Florida	129,485	121,096	23.8 sq mi
Thousand Oaks	California	129,339	126,683	55.0 sq mi
Elizabeth	New Jersey	129,007	124,969	12.3 sq mi
Stamford	Connecticut	128,874	122,643	37.6 sq mi
Concord	California	128,667	122,067	30.5 sq mi
Surprise	Arizona	128,422	117,517	105.7 sq mi
Lafayette	Louisiana	127,657	120,623	49.2 sq mi
Topeka	Kansas	127,265	127,473	60.2 sq mi
Kent	Washington	126,952	92,411	28.6 sq mi
Simi Valley	California	126,788	124,237	41.5 sq mi
Santa Clara	California	126,215	116,468	18.4 sq mi
Murfreesboro	Tennessee	126,118	108,755	55.3 sq mi
Hartford	Connecticut	124,006	124,775	17.4 sq mi
Athens	Georgia	122,604	115,452	116.4 sq mi
Victorville	California	122,225	115,903	73.2 sq mi
Abilene	Texas	121,721	117,063	106.8 sq mi
Vallejo	California	121,253	115,942	30.7 sq mi
Berkeley	California	120,972	112,580	10.5 sq mi
Norman	Oklahoma	120,284	110,925	178.8 sq mi
Allentown	Pennsylvania	120,207	118,032	17.5 sq mi
Evansville	Indiana	119,943	117,429	44.2 sq mi
Columbia	Missouri	119,108	108,500	63.1 sq mi
Odessa	Texas	118,968	99,940	42.0 sq mi
Fargo	North Dakota	118,523	105,549	48.8 sq mi
Beaumont	Texas	118,129	118,296	82.8 sq mi
Independence	Missouri	117,255	116,830	77.6 sq mi
Ann Arbor	Michigan	117,070	113,934	27.8 sq mi
El Monte	California	116,732	113,475	9.6 sq mi
Springfield	Illinois	116,565	116,250	59.5 sq mi
Round Rock	Texas	115,997	99,887	34.1 sq mi
Wilmington	North Carolina	115,933	106,476	51.5 sq mi
Arvada	Colorado	115,368	106,433	35.1 sq mi
Provo	Utah	115,264	112,488	41.7 sq mi
Peoria	Illinois	115,070	115,007	48.0 sq mi
Lansing	Michigan	115,056	114,297	36.0 sq mi
Downey	California	114,219	111,772	12.4 sq mi
Carlsbad	California	113,453	105,328	37.7 sq mi
Costa Mesa	California	113,204	109,960	15.7 sq mi
Miami Gardens	Florida	113,187	107,167	18.2 sq mi
Westminster	Colorado	113,130	106,114	31.6 sq mi
Clearwater	Florida	113,003	107,685	25.6 sq mi
Fairfield	California	112,970	105,321	37.4 sq mi
Rochester	Minnesota	112,225	106,769	54.6 sq mi
Elgin	Illinois	112,111	108,188	37.2 sq mi
Temecula	California	112,011	100,097	30.2 sq mi
West Jordan	Utah	111,946	103,712	32.5 sq mi
Inglewood	California	111,666	109,673	9.1 sq mi
Richardson	Texas	110,815	99,223	28.6 sq mi
Lowell	Massachusetts	110,699	106,519	13.6 sq mi
Gresham	Oregon	110,553	105,594	23.2 sq mi
Antioch	California	110,542	102,372	28.3 sq mi
Cambridge	Massachusetts	110,402	105,162	6.4 sq mi
High Point	North Carolina	110,268	104,371	53.8 sq mi
Billings	Montana	110,263	104,170	43.4 sq mi
Manchester	New Hampshire	110,229	109,565	33.1 sq mi
Murrieta	California	109,830	103,466	33.6 sq mi
Centennial	Colorado	109,741	100,377	28.7 sq mi
Richmond	California	109,708	103,701	30.1 sq mi
Ventura	California	109,708	106,433	21.7 sq mi
Pueblo	Colorado	109,412	106,595	53.6 sq mi
Pearland	Texas	108,821	91,252	47.5 sq mi
Waterbury	Connecticut	108,802	110,366	28.5 sq mi
West Covina	California	108,484	106,098	16.0 sq mi
North Charleston	South Carolina	108,304	97,471	76.6 sq mi
Everett	Washington	108,010	103,019	33.4 sq mi
College Station	Texas	107,889	93,857	49.6 sq mi
Palm Bay	Florida	107,888	103,190	65.7 sq mi
Pompano Beach	Florida	107,762	99,845	24.0 sq mi
Boulder	Colorado	107,349	97,385	25.7 sq mi
Norwalk	California	107,140	105,549	9.7 sq mi
West Palm Beach	Florida	106,779	99,919	55.3 sq mi
Broken Arrow	Oklahoma	106,563	98,850	61.6 sq mi
Daly City	California	106,562	101,123	7.7 sq mi
Sandy Springs	Georgia	105,330	93,853	39.0 sq mi
Burbank	California	105,319	103,340	17.3 sq mi
Green Bay	Wisconsin	105,207	104,057	45.5 sq mi
Santa Maria	California	105,093	99,553	22.8 sq mi
Wichita Falls	Texas	104,710	104,553	72.1 sq mi
Lakeland	Florida	104,401	97,422	74.4 sq mi
Clovis	California	104,180	95,631	23.3 sq mi
Lewisville	Texas	104,039	95,290	42.5 sq mi
Tyler	Texas	103,700	96,900	54.4 sq mi
El Cajon	California	103,679	99,478	14.4 sq mi
San Mateo	California	103,536	97,207	15.9 sq mi
Rialto	California	103,132	99,171	22.4 sq mi
Edison	New Jersey	102,701	99,967	30.6 sq mi
Davenport	Iowa	102,582	99,685	62.9 sq mi
Hillsboro	Oregon	102,347	91,611	24.3 sq mi
Woodbridge	New Jersey	102,105	99,585	24.5 sq mi
Las Cruces	New Mexico	101,643	97,618	76.3 sq mi
South Bend	Indiana	101,516	101,168	41.5 sq mi
Vista	California	100,890	93,834	18.7 sq mi
Greeley	Colorado	100,883	92,889	30.0 sq mi
Davie	Florida	100,882	91,992	35.7 sq mi
San Angelo	Texas	100,450	93,200	58.2 sq mi
Jurupa Valley	California	100,314	0	43.5 sq mi
Renton	Washington	100,242	90,927	23.5 sq mi
